id,type,price,condition,manufacturer,model,region,location,year,length_width,draft,displacement,material,steering,keel_type,ballast,no_persons,headroom,no_cabins,no_beds,propulsion,engine_perf,fuel_type,fuel_cap,engine_hours,mainsail,genoa,spinnaker,ad_date,no_views,no_favs
463325,Sailing Yacht,"EUR 172.862,-",NA,Bavaria,CRUISER 34,Switzerland » Lake Constance » ,Romanshorn,2021,9.75 m x 3.42 m,1.58 m,5'300 kg,GRP,Wheel control,NA,NA,10 Persons,184 cm,2 Cabins,4 beds,Saildrive,1 x 18 HP / 13 kW,Diesel,150 l,NA,NA,NA,NA,221000010-34,452,9
489126,Cruising Yacht,"EUR 20.000,-",good condition,Jeanneau,Symphonie,Switzerland,NA,1980,9.50 m x 3.25 m,1.50 m,4'100 kg,GRP,Tiller Steering,Fin Keel,2'000 kg,8 Persons,180 cm,1 Cabin,6 beds,Inboard Direct-Drive,1 x 15 HP / 11 kW,Diesel,60 l,3'000 h,20 m² (Mast Furling),NA,NA,20.12.2021,995,8
489123,Sailing Yacht,"EUR 150.000,-",As new,Bénéteau,Oceanis 35,Italy » Toscana » ,Toscana,2019,10.55 m x 3.72 m,1.90 m,NA,GRP,Dual Wheel Control,Fin Keel,NA,8 Persons,200 cm,3 Cabins,8 beds,Inboard Direct-Drive,1 x 30 HP / 22 kW,Diesel,130 l,900 h,30 m² (Mast Furling),NA,NA,356,2,NA
489118,Cruising Yacht,"EUR 38.000,-",good condition,Bénéteau,Oceanis Clipper 311,Italy » Toscana » ,Toscana,1999,9.85 m x 3.25 m,1.45 m,NA,GRP,Wheel control,Fin Keel,NA,8 Persons,190 cm,2 Cabins,6 beds,Inboard Direct-Drive,1 x 19 HP / 14 kW,Diesel,70 l,3'500 h,NA,NA,NA,701,26,NA
489118,Cruising Yacht,"EUR 38.000,-",good condition,Bénéteau,Oceanis Clipper 311,Italy » Toscana » ,Toscana,1999,9.85 m x 3.25 m,1.45 m,NA,GRP,Wheel control,Fin Keel,NA,8 Persons,190 cm,2 Cabins,6 beds,Inboard Direct-Drive,1 x 19 HP / 14 kW,Diesel,70 l,3'500 h,NA,NA,NA,701,26,NA
489115,Cruising Yacht,"EUR 38.000,-",As new,Jeanneau,Sun Odyssey 42,Italy » Toscana » ,Toscana,1991,12.40 m x 4.00 m,2.00 m,NA,GRP,Wheel control,Fin Keel,NA,8 Persons,200 cm,3 Cabins,8 beds,Inboard Direct-Drive,1 x 55 HP / 40 kW,Diesel,190 l,3'500 h,40 m² (Mast Furling),36 m² (Roller Furling),NA,1'561,62,NA
482759,Sailing Yacht,"CHF 7.500,-",good condition,Labhart,Dorli,Switzerland » ,Lake of Zurich,1963,6.00 m x 2.05 m,1.15 m,1'600 kg,Wood,Tiller Steering,Fin Keel,NA,5 Persons,NA,1 Cabin,2 beds,Saildrive,1 x 8.0 HP / 5.9 kW,Diesel,40 l,NA,NA,NA,NA,20.12.2021,406,17
489108,Daysailer,"EUR 6.000,-","Used Boat, Daysailer, Keelboat, Regatta BoatMonotype 750ITA 12635, Very funny and performing !!!!!EUR 6.000,-Basis for Negotiationfair condition",Monotype,750,Italy » Liguria » ,Chiavari,NA,7.50 m x 1.86 m,NA,950 kg,GRP,Tiller Steering,Long Keel,NA,3 Persons,NA,NA,NA,"Outboard, two-stroke",1 x 4.0 HP / 2.9 kW,Unleaded,15 l,NA,NA,NA,NA,20.12.2021,424,2
489111,Sailing Yacht,"EUR 70.000,-",good condition,Cantiere del Pardo,Grand Soleil 43,Italy » Toscana » ,Toscana,1999,13.00 m x 4.00 m,2.00 m,NA,GRP,Wheel control,Fin Keel,NA,10 Persons,200 cm,3 Cabins,8 beds,Saildrive,1 x 56 HP / 41 kW,Diesel,200 l,4'500 h,NA,NA,NA,766,29,NA
489102,Sailing Yacht,"EUR 83.000,-",NA,Dufour,34 Performance,Spain » ,barcelona,2010,10.30 m x 3.48 m,NA,NA,GRP,NA,NA,NA,8 Persons,NA,2 Cabins,4 beds,Inboard Direct-Drive,1 x 20 HP / 15 kW,Diesel,100 l,NA,NA,NA,NA,523,8,NA
489101,Catamaran,"EUR 370.000,-",NA,Lagoon,57 S,France » ,"VAR, Mer Méditerranée",1993,17.00 m x 9.20 m,1.40 m,NA,NA,NA,NA,NA,NA,NA,4 Cabins,4 beds,NA,1 x 57 HP / 42 kW,NA,900 l,NA,NA,NA,NA,337,5,NA
489100,Sailing Yacht,"EUR 199.000,-",NA,Jeanneau,Sun Odyssey 50 DS,France » ,"Port Saint Louis du Rhone, Mer Méditerranée",2010,15.07 m x 4.50 m,2.15 m,13'400 kg,NA,NA,NA,NA,NA,NA,3 Cabins,3 beds,NA,1 x 75 HP / 55 kW,NA,240 l,NA,NA,NA,NA,382,8,NA
489084,Cruising Yacht,"CHF 259.000,-",good condition,Island Packet,IP 420,Italy » Friuli Venezia Giulia » ,Marina Punta Gabbiani,2005,13.60 m x 4.30 m,1.50 m,13'500 kg,GRP,Wheel control,Long Keel,6'000 kg,6 Persons,190 cm,2 Cabins,6 beds,Inboard Direct-Drive,1 x 75 HP / 55 kW,Diesel,606 l,3'805 h,38 m² (Mast Furling),48 m² (Roller Furling),NA,19.12.2021,1'145,15
489090,Sailing Yacht,"EUR 28.000,-",used,Westerly,Conway 36,Germany » Schleswig-Holstein » ,Kappeln / Nordhafen,1976,10.89 m x 3.41 m,1.70 m,7'600 kg,GRP,Wheel control,Fin Keel,NA,NA,NA,2 Cabins,6 beds,Inboard Direct-Drive,1 x 42 HP / 31 kW,Diesel,180 l,NA,"26 m² (Battened Mainsail, Mast Furling)",42 m² (Roller Furling),NA,1'038,22,NA
489079,Daysailer,"EUR 7.390,-",good condition,Elvström,Mustang,Germany » ,Flensburger Förde,1984,6.19 m x 2.49 m,1.20 m,900 kg,GRP,Tiller Steering,Keel Sword,375 kg,NA,NA,NA,2 beds,NA,1 x 2.5 HP / 1.8 kW,NA,NA,NA,16 m² (Battened Mainsail),12 m²,NA,19.12.2021,717,9
489075,Classic Sailing Yacht,"EUR 145.000,-",As new,Vanguard,49,Portugal » Faro » ,VILAMOURA,1982,14.50 m x 4.20 m,1.90 m,22'000 kg,Steel,Wheel control,Long Keel,6'000 kg,10 Persons,220 cm,2 Cabins,6 beds,Inboard Direct-Drive,1 x 85 HP / 63 kW,Diesel,1'000 l,500 h,NA,Roller Furling,NA,19.12.2021,674,2
489073,Center Cockpit,"EUR 110.000,-",fair condition,Hallberg-Rassy,HR 42F MKI,Italy » Emilia Romagna » ,Rimini,1991,13.00 m,2.00 - 3.95 m,12'500 kg,GRP,Wheel control,Bulb Keel,4'700 kg,8 Persons,NA,2 Cabins,8 beds,Inboard Direct-Drive,1 x 75 HP / 55 kW,Diesel,400 l,NA,Battened Mainsail,NA,NA,19.12.2021,1'730,32
483288,Sailing Yacht,"CHF 249.000,-",As new,Faurby,363 de Luxe,Switzerland » Neuenburgersee » ,Chevroux,2008,10.98 m x 3.30 m,1.85 m,5'700 kg,GRP,Wheel control,Bulb Keel,2'300 kg,8 Persons,200 cm,2 Cabins,6 beds,Saildrive,1 x 30 HP / 22 kW,Diesel,85 l,1'600 h,37 m²,30 m² (Roller Furling),NA,19.12.2021,502,15
461940,Sailing Yacht,"EUR 18.500,-",to be done up,Oyster,One Tonner (one-off) Nadia Catcher,Spain » Islas Canarias » ,Lanzarote,1985,12.14 m x 3.95 m,2.30 m,5'500 kg,Carbon Fiber,Tiller Steering,Fin Keel,NA,6 Persons,NA,NA,6 beds,Inboard Direct-Drive,1 x 27 HP / 20 kW,Diesel,NA,NA,NA,NA,NA,19.12.2021,861,77
489063,Sailing Yacht,"EUR 44.500,-",NA,Dehler,372,Netherlands » ,Contact De Valk Monnickendam,1984,11.30 m x 3.45 m,1.70 m,5'000 kg,GRP,NA,NA,NA,NA,NA,2 Cabins,6 beds,NA,1 x 35 HP / 26 kW,Diesel,NA,2'558 h,NA,NA,NA,701,20,NA
489059,Sailing Yacht,"EUR 88.000,-",NA,NA,Taiwan Clipper Ta-Chiao T 42,Spain » ,ALMERIA,1982,12.50 m x 3.70 m,1.90 m,14'000 kg,GRP,NA,NA,NA,NA,NA,NA,4 beds,Inboard Direct-Drive,1 x 90 HP / 66 kW,Diesel,400 l,8'660 h,NA,NA,NA,331,NA,NA
489058,Sailing Yacht,"EUR 26.900,-",NA,Etap,24i,Netherlands » ,"Denia, Spanje",2003,8.02 m x 2.50 m,0.85 m,NA,PVC,NA,NA,NA,NA,NA,1 Cabin,2 beds,NA,1 x 9.0 HP / 6.6 kW,Diesel,NA,NA,NA,NA,NA,654,11,NA
